Date,Product,Quantity,Price,Customer ID,Region,Total Sales
2026-01-02,Laptop,9,1161,CUST007,South,10449
2026-01-02,Laptop,9,1198,CUST017,East,10782
2026-01-02,Phone,2,727,CUST012,West,1454
2026-01-02,Phone,9,737,CUST013,West,6633
2026-01-03,Laptop,2,1182,CUST006,South,2364
2026-01-03,Monitor,5,282,CUST020,West,1410
2026-01-03,Phone,6,654,CUST019,West,3924
2026-01-04,Headphones,8,175,CUST020,East,1400
2026-01-04,Laptop,5,1161,CUST003,South,5805
2026-01-04,Monitor,4,302,CUST014,West,1208
2026-01-04,Monitor,7,270,CUST006,East,1890
2026-01-04,Phone,8,711,CUST008,South,5688
2026-01-04,Tablet,1,478,CUST015,South,478
2026-01-05,Laptop,1,1176,CUST019,South,1176
2026-01-05,Laptop,5,1166,CUST006,South,5830
2026-01-06,Laptop,3,1181,CUST007,West,3543
2026-01-06,Laptop,3,1204,CUST002,South,3612
2026-01-06,Monitor,3,271,CUST012,North,813
2026-01-06,Monitor,5,327,CUST014,East,1635
2026-01-07,Phone,1,720,CUST009,North,720
2026-01-07,Phone,7,693,CUST001,West,4851
2026-01-08,Tablet,1,418,CUST005,East,418
2026-01-09,Headphones,8,197,CUST004,East,1576
2026-01-09,Monitor,5,346,CUST004,South,1730
2026-01-09,Phone,1,701,CUST011,North,701
2026-01-09,Tablet,4,452,CUST017,East,1808
